lat,long,mag,depth
 Latitude , Longitude , Magnitude , Depth/km 
36.3731,-97.1491,4.2,3.3
36.0422,-97.9035,4.1,3.39
36.6996,-97.683,4.3,6.073
35.672,-97.4047,4.2,5.031
35.8591,-96.6833,4.2,6.813
36.4782,-98.7365,4.2,5.367
36.815,-97.6114,4.1,2.767
36.8169,-97.7529,4.3,6.06
35.9993,-96.7646,4.0,5.0
35.9907,-96.803,5.0,4.43
36.3077,-96.6472,4.5,2.56
36.4493,-98.7758,4.0,7.081
36.4251,-96.9291,5.8,5.557
35.6867,-97.1082,4.0,1.18
36.2476,-98.4451,4.1,6.075
36.6602,-98.0867,4.1,6.419
35.6771,-97.1894,4.0,5.0
36.2841,-97.5138,4.2,4.787
36.4638,-98.7584,4.4,7.242
36.4749,-98.7459,4.2,6.356
36.4765,-98.7387,4.2,7.315
35.6619,-97.1741,4.2,6.106
35.99,-97.5773,4.2,5.183
36.4812,-98.7392,4.0,5.0
36.4898,-98.709,5.1,8.31
36.2761,-98.4096,4.1,8.309
36.4754,-98.7342,4.4,6.647
36.4955,-98.7254,4.7,4.058
36.486,-98.7412,4.4,7.093
36.4885,-98.7319,4.0,9.409
35.6688,-97.4065,4.2,5.825
35.6654,-97.4054,4.3,6.532
36.4703,-98.7606,4.0,6.126
36.7509,-98.0561,4.7,5.629
36.8393,-98.2691,4.1,4.864
36.8382,-98.2762,4.4,5.028
36.9483,-97.8276,4.1,5.0
36.6602,-98.4594,4.7,5.914
36.4696,-98.7549,4.3,5.109
36.9528,-97.8552,4.1,5.0
35.986,-96.8032,4.3,3.274
36.7187,-97.9311,4.4,5.629
35.987,-96.7872,4.0,2.893
35.9931,-96.7997,4.1,0.208
36.8126,-97.8056,4.2,10.7
36.8221,-97.7982,4.1,3.9
36.0226,-97.5627,4.1,10.1
36.0167,-97.5392,4.8,9.6
36.0485,-97.5645,4.0,6.3
36.8823,-98.1649,4.4,9.5
36.5129,-98.417,4.1,11.4
35.7626,-97.3896,4.1,2.5
36.2816,-97.5141,4.1,2.7
36.2941,-97.5179,4.0,8.2
36.2984,-97.5029,4.1,3.7
36.2978,-97.5234,4.1,4.3
35.9516,-97.3308,4.1,6.7
35.9459,-97.3234,4.1,6.7
35.8479,-97.4129,4.0,8.8
36.1266,-97.5731,4.3,6.5
36.6649,-97.681,4.3,4.8
35.8475,-97.4172,4.0,4.8
36.8353,-98.1923,4.3,19.6
36.9263,-97.5895,4.0,12.9
36.6148,-97.6782,4.0,6.4
36.2724,-97.2546,4.1,11.5
36.8287,-97.716,4.0,13.8
35.8277,-97.4217,4.0,12.7
36.2628,-97.2634,4.1,10.0
36.8942,-98.6262,4.6,0.0
35.9292,-97.4989,4.8,0.0
36.8796,-98.2778,4.0,0.0
36.2619,-97.6259,4.7,0.0
36.2398,-95.817,4.2,0.0
36.4051,-96.802,4.1,0.0
36.4502,-97.6241,4.3,0.0
36.4079,-97.6734,4.2,0.0
36.2667,-97.0398,4.1,5.5
35.8808,-96.7633,4.5,0.0
35.8589,-97.5231,4.8,0.0
36.7425,-98.0428,4.0,5.0
36.8278,-97.6461,4.5,0.0
36.4957,-100.113,4.4,0.0
36.5953,-97.6324,4.0,17.4
36.7997,-97.8516,4.3,5.0
35.8232,-97.4387,4.4,11.0
36.634,-97.7342,4.0,8.3
36.7527,-97.5779,4.6,9.7
36.5908,-98.2116,4.0,10.2
36.8663,-98.29,4.3,10.0
36.283,-97.2371,4.1,7.9
36.2867,-96.927,4.0,5.1
36.0739,-97.2991,4.1,10.1
36.6116,-97.7048,4.1,10.0
36.6161,-97.94,4.6,11.4
36.8221,-97.8728,4.0,5.3
36.7549,-97.5442,4.2,4.5
36.741,-97.5425,4.1,0.3
36.0337,-97.1099,4.2,7.5
36.5103,-98.9545,4.4,7.9
36.0652,-97.2444,4.4,14.2
35.4213,-96.5605,4.2,10.9
36.2884,-96.941,4.2,10.2
36.2116,-97.5318,4.0,3.3
36.6442,-97.8884,4.2,8.7
36.5068,-98.4621,4.2,3.6
35.7506,-97.4807,4.2,7.1
35.7752,-97.1119,4.0,4.0
35.9677,-96.7344,4.5,15.9
36.1754,-97.2513,4.4,2.1
35.9473,-96.7177,4.0,11.7
36.7538,-97.9878,4.2,7.0
36.2154,-97.541,4.1,3.6
36.2054,-97.5422,4.0,10.0
36.3598,-97.2213,4.1,2.1
35.8324,-97.4342,4.2,8.0
36.2889,-96.9634,4.1,10.0
35.4527,-96.5187,4.0,4.9
34.6191,-97.5729,4.1,7.8
35.8321,-97.4079,4.1,11.0
36.177,-97.2529,4.2,5.5
36.2788,-97.2572,4.2,2.2
36.1868,-97.2592,4.4,4.4
